dataset,horizon_h,mode,model,strongest_bench,bench_nRMSE,DM,p_value
kelmarsh,1,corrected,MLP,LinearRegression,11.5818,1.3134,0.1893
kelmarsh,1,corrected,LSTM,LinearRegression,11.5818,0.5009,0.6166
kelmarsh,1,corrected,GRU,LinearRegression,11.5818,-0.0943,0.9249
kelmarsh,1,corrected,DLinear,LinearRegression,11.5818,0.0675,0.9462
kelmarsh,1,corrected,PatchTST,LinearRegression,11.5818,10.1167,0.0
kelmarsh,2,corrected,MLP,LinearRegression,15.9178,1.1154,0.2649
kelmarsh,2,corrected,LSTM,LinearRegression,15.9178,-0.0107,0.9915
kelmarsh,2,corrected,GRU,LinearRegression,15.9178,-0.173,0.8627
kelmarsh,2,corrected,DLinear,LinearRegression,15.9178,-0.1223,0.9027
kelmarsh,2,corrected,PatchTST,LinearRegression,15.9178,6.5665,0.0
kelmarsh,3,corrected,MLP,LinearRegression,18.7129,0.9807,0.327
kelmarsh,3,corrected,LSTM,LinearRegression,18.7129,0.2583,0.7962
kelmarsh,3,corrected,GRU,LinearRegression,18.7129,-0.2933,0.7693
kelmarsh,3,corrected,DLinear,LinearRegression,18.7129,0.4932,0.622
kelmarsh,3,corrected,PatchTST,LinearRegression,18.7129,4.5663,0.0
kelmarsh,6,corrected,MLP,LinearRegression,23.5694,2.4847,0.0131
kelmarsh,6,corrected,LSTM,LinearRegression,23.5694,1.9969,0.0461
kelmarsh,6,corrected,GRU,LinearRegression,23.5694,0.684,0.4942
kelmarsh,6,corrected,DLinear,LinearRegression,23.5694,0.2043,0.8382
kelmarsh,6,corrected,PatchTST,LinearRegression,23.5694,2.7937,0.0053
kelmarsh,12,corrected,MLP,LinearRegression,27.7773,0.226,0.8213
kelmarsh,12,corrected,LSTM,LinearRegression,27.7773,-0.3519,0.725
kelmarsh,12,corrected,GRU,LinearRegression,27.7773,-0.5586,0.5766
kelmarsh,12,corrected,DLinear,LinearRegression,27.7773,1.3559,0.1754
kelmarsh,12,corrected,PatchTST,LinearRegression,27.7773,1.9429,0.0523
kelmarsh,18,corrected,MLP,LinearRegression,29.3321,1.3352,0.1821
kelmarsh,18,corrected,LSTM,LinearRegression,29.3321,2.7489,0.0061
kelmarsh,18,corrected,GRU,LinearRegression,29.3321,1.6586,0.0975
kelmarsh,18,corrected,DLinear,LinearRegression,29.3321,3.1473,0.0017
kelmarsh,18,corrected,PatchTST,LinearRegression,29.3321,1.791,0.0736
kelmarsh,24,corrected,MLP,LinearRegression,30.8868,0.9159,0.3599
kelmarsh,24,corrected,LSTM,LinearRegression,30.8868,1.0693,0.2852
kelmarsh,24,corrected,GRU,LinearRegression,30.8868,-0.2789,0.7804
kelmarsh,24,corrected,DLinear,LinearRegression,30.8868,2.136,0.0329
kelmarsh,24,corrected,PatchTST,LinearRegression,30.8868,1.1877,0.2352
kelmarsh,36,corrected,MLP,LinearRegression,32.1987,1.2118,0.2259
kelmarsh,36,corrected,LSTM,LinearRegression,32.1987,1.1099,0.2673
kelmarsh,36,corrected,GRU,LinearRegression,32.1987,1.0231,0.3065
kelmarsh,36,corrected,DLinear,LinearRegression,32.1987,2.0625,0.0394
kelmarsh,36,corrected,PatchTST,LinearRegression,32.1987,0.288,0.7734
kelmarsh,48,corrected,MLP,LinearRegression,32.5281,1.2931,0.1963
kelmarsh,48,corrected,LSTM,LinearRegression,32.5281,1.0475,0.2951
kelmarsh,48,corrected,GRU,LinearRegression,32.5281,0.8942,0.3715
kelmarsh,48,corrected,DLinear,LinearRegression,32.5281,1.6698,0.0953
kelmarsh,48,corrected,PatchTST,LinearRegression,32.5281,-0.4897,0.6244
penmanshiel,1,corrected,MLP,LinearRegression,11.5371,-0.1038,0.9173
penmanshiel,1,corrected,LSTM,LinearRegression,11.5371,-0.6717,0.5019
penmanshiel,1,corrected,GRU,LinearRegression,11.5371,-1.6083,0.1081
penmanshiel,1,corrected,DLinear,LinearRegression,11.5371,2.9631,0.0031
penmanshiel,1,corrected,PatchTST,LinearRegression,11.5371,9.6512,0.0
penmanshiel,2,corrected,MLP,LinearRegression,16.4229,-0.763,0.4456
penmanshiel,2,corrected,LSTM,LinearRegression,16.4229,-1.3378,0.1813
penmanshiel,2,corrected,GRU,LinearRegression,16.4229,-1.1233,0.2616
penmanshiel,2,corrected,DLinear,LinearRegression,16.4229,1.925,0.0545
penmanshiel,2,corrected,PatchTST,LinearRegression,16.4229,5.3344,0.0
penmanshiel,3,corrected,MLP,LinearRegression,19.2658,-0.5674,0.5706
penmanshiel,3,corrected,LSTM,LinearRegression,19.2658,0.2972,0.7664
