dataset,horizon_h,mode,model,nRMSE_mean,nRMSE_std,MAE_kW,is_benchmark
kelmarsh,1,corrected,Persistence,11.8812,0.0,154.15,True
kelmarsh,1,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,1,corrected,Climatology,33.4813,0.0,536.96,True
kelmarsh,1,corrected,LinearRegression,11.5818,0.0,157.94,True
kelmarsh,1,corrected,MLP,11.7996,0.1177,162.91,False
kelmarsh,1,corrected,LSTM,11.7252,0.1073,160.06,False
kelmarsh,1,corrected,GRU,11.7319,0.1366,158.39,False
kelmarsh,1,corrected,DLinear,12.2887,0.4829,162.1,False
kelmarsh,1,corrected,PatchTST,17.3341,0.601,246.4,False
kelmarsh,2,corrected,Persistence,16.6201,0.0,224.8,True
kelmarsh,2,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,2,corrected,Climatology,33.4792,0.0,536.96,True
kelmarsh,2,corrected,LinearRegression,15.9178,0.0,232.07,True
kelmarsh,2,corrected,MLP,16.178,0.1651,239.45,False
kelmarsh,2,corrected,LSTM,16.0359,0.1036,235.41,False
kelmarsh,2,corrected,GRU,16.0803,0.2502,235.23,False
kelmarsh,2,corrected,DLinear,16.4278,0.2862,236.71,False
kelmarsh,2,corrected,PatchTST,21.2138,1.1846,333.39,False
kelmarsh,3,corrected,Persistence,19.8345,0.0,273.3,True
kelmarsh,3,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,3,corrected,Climatology,33.48,0.0,536.97,True
kelmarsh,3,corrected,LinearRegression,18.7129,0.0,284.29,True
kelmarsh,3,corrected,MLP,19.1161,0.2385,289.05,False
kelmarsh,3,corrected,LSTM,18.9858,0.2332,286.4,False
kelmarsh,3,corrected,GRU,18.8815,0.1366,283.97,False
kelmarsh,3,corrected,DLinear,19.1302,0.2393,287.34,False
kelmarsh,3,corrected,PatchTST,23.1239,1.4014,363.41,False
kelmarsh,6,corrected,Persistence,25.9403,0.0,372.49,True
kelmarsh,6,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,6,corrected,Climatology,33.487,0.0,537.0,True
kelmarsh,6,corrected,LinearRegression,23.5694,0.0,381.79,True
kelmarsh,6,corrected,MLP,24.238,0.5113,393.64,False
kelmarsh,6,corrected,LSTM,24.1715,0.3167,390.84,False
kelmarsh,6,corrected,GRU,23.8186,0.1417,384.24,False
kelmarsh,6,corrected,DLinear,24.2026,0.5776,381.73,False
kelmarsh,6,corrected,PatchTST,26.6879,1.0112,443.45,False
kelmarsh,12,corrected,Persistence,32.0717,0.0,481.48,True
kelmarsh,12,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,12,corrected,Climatology,33.5141,0.0,536.99,True
kelmarsh,12,corrected,LinearRegression,27.7773,0.0,480.88,True
kelmarsh,12,corrected,MLP,28.0902,0.5858,482.03,False
kelmarsh,12,corrected,LSTM,28.0599,0.5535,476.34,False
kelmarsh,12,corrected,GRU,27.9045,0.409,473.06,False
kelmarsh,12,corrected,DLinear,29.2325,1.6592,492.0,False
kelmarsh,12,corrected,PatchTST,30.002,0.2965,513.63,False
kelmarsh,18,corrected,Persistence,34.5681,0.0,520.92,True
kelmarsh,18,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,18,corrected,Climatology,33.5314,0.0,536.99,True
kelmarsh,18,corrected,LinearRegression,29.3321,0.0,514.95,True
kelmarsh,18,corrected,MLP,30.0068,1.0595,525.21,False
kelmarsh,18,corrected,LSTM,30.2271,0.78,531.62,False
kelmarsh,18,corrected,GRU,29.7006,0.5388,518.62,False
kelmarsh,18,corrected,DLinear,31.1919,1.4684,536.02,False
kelmarsh,18,corrected,PatchTST,31.2831,0.3237,530.16,False
kelmarsh,24,corrected,Persistence,37.8834,0.0,591.81,True
kelmarsh,24,corrected,SeasonalPersistence,37.8834,0.0,591.81,True
kelmarsh,24,corrected,Climatology,33.5553,0.0,536.97,True
kelmarsh,24,corrected,LinearRegression,30.8868,0.0,546.54,True
kelmarsh,24,corrected,MLP,31.6033,0.7204,562.03,False
kelmarsh,24,corrected,LSTM,31.417,0.4572,556.24,False
kelmarsh,24,corrected,GRU,31.0233,0.3866,546.68,False
kelmarsh,24,corrected,DLinear,32.5156,1.5456,563.16,False
kelmarsh,24,corrected,PatchTST,32.132,0.4169,555.98,False
kelmarsh,36,corrected,Persistence,42.5488,0.0,692.36,True
kelmarsh,36,corrected,SeasonalPersistence,44.4473,0.0,708.61,True
kelmarsh,36,corrected,Climatology,33.5909,0.0,537.09,True
kelmarsh,36,corrected,LinearRegression,32.1987,0.0,573.75,True
kelmarsh,36,corrected,MLP,33.3633,0.5294,608.51,False
kelmarsh,36,corrected,LSTM,33.5933,1.2027,603.43,False
kelmarsh,36,corrected,GRU,32.7209,0.6395,585.88,False
kelmarsh,36,corrected,DLinear,34.2428,0.9674,612.06,False
kelmarsh,36,corrected,PatchTST,32.6563,0.384,564.26,False
kelmarsh,48,corrected,Persistence,44.4473,0.0,708.61,True
kelmarsh,48,corrected,SeasonalPersistence,44.4473,0.0,708.61,True
kelmarsh,48,corrected,Climatology,33.5852,0.0,536.85,True
kelmarsh,48,corrected,LinearRegression,32.5281,0.0,577.62,True
kelmarsh,48,corrected,MLP,34.7164,2.4113,626.49,False
kelmarsh,48,corrected,LSTM,34.6409,3.0149,619.91,False
kelmarsh,48,corrected,GRU,33.7833,2.0498,600.9,False
kelmarsh,48,corrected,DLinear,34.7817,1.8564,613.26,False
kelmarsh,48,corrected,PatchTST,32.361,0.4098,555.46,False
penmanshiel,1,corrected,Persistence,11.582,0.0,147.77,True
penmanshiel,1,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,1,corrected,Climatology,35.3736,0.0,608.23,True
penmanshiel,1,corrected,LinearRegression,11.5371,0.0,162.55,True
penmanshiel,1,corrected,MLP,11.6514,0.1229,160.74,False
penmanshiel,1,corrected,LSTM,11.6406,0.1416,162.4,False
penmanshiel,1,corrected,GRU,11.6077,0.1815,159.33,False
penmanshiel,1,corrected,DLinear,12.2671,0.3893,169.99,False
penmanshiel,1,corrected,PatchTST,17.2596,0.8385,239.71,False
penmanshiel,2,corrected,Persistence,16.8051,0.0,214.85,True
penmanshiel,2,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,2,corrected,Climatology,35.3669,0.0,608.25,True
penmanshiel,2,corrected,LinearRegression,16.4229,0.0,241.8,True
penmanshiel,2,corrected,MLP,16.4907,0.2487,233.74,False
penmanshiel,2,corrected,LSTM,16.4526,0.2339,238.75,False
penmanshiel,2,corrected,GRU,16.537,0.2448,238.93,False
penmanshiel,2,corrected,DLinear,17.1326,0.328,248.02,False
penmanshiel,2,corrected,PatchTST,21.3032,1.6187,309.78,False
penmanshiel,3,corrected,Persistence,20.0668,0.0,264.26,True
penmanshiel,3,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,3,corrected,Climatology,35.3628,0.0,608.19,True
penmanshiel,3,corrected,LinearRegression,19.2658,0.0,298.92,True
penmanshiel,3,corrected,MLP,19.2555,0.2209,285.83,False
penmanshiel,3,corrected,LSTM,19.4274,0.2338,297.57,False
penmanshiel,3,corrected,GRU,19.4726,0.459,295.74,False
penmanshiel,3,corrected,DLinear,20.2125,0.784,305.73,False
penmanshiel,3,corrected,PatchTST,23.8231,0.5695,363.99,False
penmanshiel,6,corrected,Persistence,27.364,0.0,373.95,True
penmanshiel,6,corrected,SeasonalPersistence,42.5951,0.0,649.31,True
penmanshiel,6,corrected,Climatology,35.3544,0.0,608.2,True
