dataset,horizon_h,mode,gap_filter,comparison,DM_HLN,p_HLN,p_bootstrap,agree_at_5pct
kelmarsh,12,corrected,filt,MLP_vs_LinearRegression,1.1735,0.2409,0.2957,True
kelmarsh,12,corrected,filt,LSTM_vs_LinearRegression,-0.384,0.7011,0.7113,True
kelmarsh,12,corrected,filt,GRU_vs_LinearRegression,-0.6321,0.5275,0.5235,True
kelmarsh,12,corrected,filt,DLinear_vs_LinearRegression,1.0707,0.2846,0.3007,True
kelmarsh,12,corrected,filt,PatchTST_vs_LinearRegression,1.6689,0.0955,0.1159,True
kelmarsh,12,corrected,filt,LSTM_vs_MLP,-1.0106,0.3124,0.3267,True
kelmarsh,18,corrected,filt,MLP_vs_LinearRegression,1.5971,0.1106,0.1628,True
kelmarsh,18,corrected,filt,LSTM_vs_LinearRegression,3.4534,0.0006,0.008,True
kelmarsh,18,corrected,filt,GRU_vs_LinearRegression,0.8041,0.4215,0.4995,True
kelmarsh,18,corrected,filt,DLinear_vs_LinearRegression,3.0856,0.0021,0.005,True
kelmarsh,18,corrected,filt,PatchTST_vs_LinearRegression,2.1846,0.0291,0.0509,False
kelmarsh,18,corrected,filt,LSTM_vs_MLP,0.2135,0.831,0.8492,True
kelmarsh,1,corrected,filt,MLP_vs_LinearRegression,1.5509,0.1212,0.0949,True
kelmarsh,1,corrected,filt,LSTM_vs_LinearRegression,0.3961,0.6921,0.7133,True
kelmarsh,1,corrected,filt,GRU_vs_LinearRegression,-0.0876,0.9302,0.9301,True
kelmarsh,1,corrected,filt,DLinear_vs_LinearRegression,0.0269,0.9785,0.983,True
kelmarsh,1,corrected,filt,PatchTST_vs_LinearRegression,10.7607,0.0,0.001,True
kelmarsh,1,corrected,filt,LSTM_vs_MLP,-1.1875,0.2353,0.2617,True
kelmarsh,24,corrected,filt,MLP_vs_LinearRegression,0.9226,0.3565,0.3387,True
kelmarsh,24,corrected,filt,LSTM_vs_LinearRegression,1.1881,0.2351,0.2567,True
kelmarsh,24,corrected,filt,GRU_vs_LinearRegression,-0.3622,0.7172,0.7373,True
kelmarsh,24,corrected,filt,DLinear_vs_LinearRegression,2.1333,0.0331,0.036,True
kelmarsh,24,corrected,filt,PatchTST_vs_LinearRegression,1.4725,0.1412,0.1359,True
kelmarsh,24,corrected,filt,LSTM_vs_MLP,-0.3229,0.7468,0.7343,True
kelmarsh,2,corrected,filt,MLP_vs_LinearRegression,0.9544,0.3401,0.3297,True
kelmarsh,2,corrected,filt,LSTM_vs_LinearRegression,0.1341,0.8934,0.8971,True
kelmarsh,2,corrected,filt,GRU_vs_LinearRegression,-0.0449,0.9642,0.968,True
kelmarsh,2,corrected,filt,DLinear_vs_LinearRegression,-0.2343,0.8148,0.8032,True
kelmarsh,2,corrected,filt,PatchTST_vs_LinearRegression,6.1712,0.0,0.001,True
kelmarsh,2,corrected,filt,LSTM_vs_MLP,-1.6994,0.0896,0.0599,True
kelmarsh,36,corrected,filt,MLP_vs_LinearRegression,1.1912,0.2339,0.2597,True
kelmarsh,36,corrected,filt,LSTM_vs_LinearRegression,1.2494,0.2118,0.2258,True
kelmarsh,36,corrected,filt,GRU_vs_LinearRegression,0.9368,0.3491,0.3646,True
kelmarsh,36,corrected,filt,DLinear_vs_LinearRegression,1.9422,0.0524,0.0609,True
kelmarsh,36,corrected,filt,PatchTST_vs_LinearRegression,0.3548,0.7229,0.7053,True
kelmarsh,36,corrected,filt,LSTM_vs_MLP,0.6732,0.501,0.4675,True
kelmarsh,3,corrected,filt,MLP_vs_LinearRegression,1.0262,0.305,0.3287,True
kelmarsh,3,corrected,filt,LSTM_vs_LinearRegression,0.3208,0.7485,0.7612,True
kelmarsh,3,corrected,filt,GRU_vs_LinearRegression,-0.5555,0.5787,0.5844,True
kelmarsh,3,corrected,filt,DLinear_vs_LinearRegression,0.3202,0.7489,0.7632,True
kelmarsh,3,corrected,filt,PatchTST_vs_LinearRegression,4.2732,0.0,0.001,True
kelmarsh,3,corrected,filt,LSTM_vs_MLP,-1.3988,0.1622,0.1678,True
kelmarsh,48,corrected,filt,MLP_vs_LinearRegression,1.0723,0.2839,0.2897,True
kelmarsh,48,corrected,filt,LSTM_vs_LinearRegression,0.9984,0.3183,0.3347,True
kelmarsh,48,corrected,filt,GRU_vs_LinearRegression,0.8421,0.3999,0.3986,True
kelmarsh,48,corrected,filt,DLinear_vs_LinearRegression,1.6705,0.0951,0.1019,True
kelmarsh,48,corrected,filt,PatchTST_vs_LinearRegression,-0.392,0.6952,0.6274,True
kelmarsh,48,corrected,filt,LSTM_vs_MLP,0.6604,0.5092,0.5594,True
kelmarsh,6,corrected,filt,MLP_vs_LinearRegression,2.5429,0.0111,0.012,True
kelmarsh,6,corrected,filt,LSTM_vs_LinearRegression,1.924,0.0546,0.047,False
kelmarsh,6,corrected,filt,GRU_vs_LinearRegression,0.7632,0.4455,0.4326,True
kelmarsh,6,corrected,filt,DLinear_vs_LinearRegression,0.7325,0.464,0.4396,True
kelmarsh,6,corrected,filt,PatchTST_vs_LinearRegression,2.6043,0.0093,0.026,True
kelmarsh,6,corrected,filt,LSTM_vs_MLP,-0.262,0.7933,0.8042,True
penmanshiel,12,corrected,filt,MLP_vs_LinearRegression,0.4642,0.6426,0.6314,True
penmanshiel,12,corrected,filt,LSTM_vs_LinearRegression,2.1127,0.0349,0.042,True
penmanshiel,12,corrected,filt,GRU_vs_LinearRegression,0.7009,0.4835,0.4625,True
penmanshiel,12,corrected,filt,DLinear_vs_LinearRegression,1.3076,0.1913,0.2188,True
penmanshiel,12,corrected,filt,PatchTST_vs_LinearRegression,0.5441,0.5865,0.5824,True
penmanshiel,12,corrected,filt,LSTM_vs_MLP,2.7655,0.0058,0.007,True
penmanshiel,18,corrected,filt,MLP_vs_LinearRegression,-0.6578,0.5108,0.5015,True
penmanshiel,18,corrected,filt,LSTM_vs_LinearRegression,0.7687,0.4423,0.4326,True
penmanshiel,18,corrected,filt,GRU_vs_LinearRegression,-1.5091,0.1316,0.1399,True
penmanshiel,18,corrected,filt,DLinear_vs_LinearRegression,1.5437,0.123,0.1329,True
