dataset,horizon_h,Persistence_naive,Persistence_seasonal,Climatology,LinearRegression,MLP_mean,LSTM_mean,GRU_mean,DLinear_mean,PatchTST_mean
kelmarsh,1,11.8812,37.8834,33.4813,11.5818,11.8752,11.695,11.7069,12.1063,17.7231
kelmarsh,2,16.6201,37.8834,33.4792,15.9178,16.2081,16.0489,16.1013,16.3627,20.8845
kelmarsh,3,19.8345,37.8834,33.48,18.7129,19.06,18.9848,18.8579,19.1631,22.7926
kelmarsh,6,25.9403,37.8834,33.487,23.5694,24.312,24.2601,23.8443,24.3648,26.4194
kelmarsh,12,32.0717,37.8834,33.5141,27.7773,28.3014,27.9875,27.8856,28.8983,29.9446
kelmarsh,18,34.5681,37.8834,33.5314,29.3321,30.0481,30.1798,29.6706,31.07,31.6215
kelmarsh,24,37.8834,37.8834,33.5553,30.8868,31.5223,31.4481,31.0781,32.1147,32.3211
kelmarsh,36,42.5488,44.4473,33.5909,32.1987,33.2161,33.7047,32.6976,34.1003,32.8545
kelmarsh,48,44.4473,44.4473,33.5852,32.5281,33.905,34.5385,33.7751,34.9401,32.8465
penmanshiel,1,11.582,42.5951,35.3736,11.5371,11.7082,11.6599,11.5667,12.3998,17.4727
penmanshiel,2,16.8051,42.5951,35.3669,16.4229,16.5172,16.4455,16.5431,17.2508,21.9358
penmanshiel,3,20.0668,42.5951,35.3628,19.2658,19.3245,19.3376,19.4404,20.3216,23.4732
penmanshiel,6,27.364,42.5951,35.3544,25.4901,25.3258,25.7525,25.6023,27.3265,29.0092
penmanshiel,12,35.1011,42.5951,35.3482,32.0,32.4214,33.7391,32.5691,33.4794,33.124
penmanshiel,18,39.1073,42.5951,35.3424,34.6145,34.5632,35.8985,34.3965,36.229,34.9733
penmanshiel,24,42.5951,42.5951,35.3172,35.8659,36.839,37.2222,36.1132,37.2253,35.6351
penmanshiel,36,49.1863,48.8603,35.275,37.8338,39.3385,39.2956,38.7709,39.1975,36.3091
penmanshiel,48,48.8603,48.8603,35.2386,38.3602,40.0925,39.4812,38.592,38.361,36.0715
